Title,Author,Published_Date,Description
DEADLY TOUCH,Heather Graham,Date non disponible,The 31st book in the Krewe of Hunters series. Raina Hamish has a vision that might help Axel Tiger find a serial killer.
THE OUTSIDER,Stephen King,Date non disponible,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.
THE ONE AND ONLY IVAN,Katherine Applegate.,Date non disponible,
A LONG WALK TO WATER,Linda Sue Park,Date non disponible,
THE GIRL WHO DRANK THE MOON,Kelly Barnhill,Date non disponible,
BROWN GIRL DREAMING,Jacqueline Woodson,Date non disponible,
GHOST BOYS,Jewell Parker Rhodes,Date non disponible,
PAX,Sara Pennypacker.,Date non disponible,
THE CROSSOVER,Kwame Alexander,Date non disponible,
FISH IN A TREE,Lynda Mullaly Hunt,Date non disponible,
OUT OF MY MIND,Sharon M. Draper,Date non disponible,
THE WILD ROBOT,Peter Brown,Date non disponible,
WE WERE LIARS,E. Lockhart,Date non disponible,
DEAR MARTIN,Nic Stone,Date non disponible,
THE BOOK THIEF,Markus Zusak,Date non disponible,
LONG WAY DOWN,Jason Reynolds,Date non disponible,
ALL AMERICAN BOYS,Jason Reynolds and Brendan Kiely,Date non disponible,
THIS BOOK IS ANTI-RACIST,Tiffany Jewell.,Date non disponible,
THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,Sherman Alexie.,Date non disponible,
THEY BOTH DIE AT THE END,Adam Silvera,Date non disponible,
THE BOY IN THE STRIPED PAJAMAS,John Boyne,Date non disponible,
I AM NOT YOUR PERFECT MEXICAN DAUGHTER,Erika L. Sánchez,Date non disponible,
