Title,Author,Published_Date,Description
RAGE,Bob Woodward,Date non disponible,"Based on 17 on-the-record interviews with President Trump and other reporting, the Pulitzer Prize-winning journalist details the president’s perspective on multiple crises."
BLACKOUT,Candace Owens,Date non disponible,The conservative commentator makes her case that Black Americans should part ways with the Democratic Party.
DISLOYAL,Michael Cohen,Date non disponible,"An account of President Trump’s business empire, political campaign and presidential administration by his former personal attorney."
KILLING CRAZY HORSE,Bill O'Reilly and Martin Dugard,Date non disponible,The ninth book in the conservative commentator’s Killing series focuses on conflicts with Native Americans.
CASTE,Isabel Wilkerson,Date non disponible,The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.
COMPROMISED,Peter Strzok,Date non disponible,The former F.B.I. deputy assistant director of counterintelligence chronicles the investigation into Russia’s election interference and key moments from his career.
UNTAMED,Glennon Doyle,Date non disponible,The activist and public speaker describes her journey of listening to her inner voice.
LIVE FREE OR DIE,Sean Hannity,Date non disponible,The Fox News host offers his assessment on what is at stake in the 2020 election.
SPEAKING FOR MYSELF,Sarah Huckabee Sanders,Date non disponible,The former White House press secretary shares her perspective on her time working with President Trump.
EVERYTHING BEAUTIFUL IN ITS TIME,Jenna Bush Hager,Date non disponible,Essays by the former first daughter and granddaughter celebrating the lives of her grandparents.
TOO MUCH AND NEVER ENOUGH,Mary L Trump,Date non disponible,The clinical psychologist gives her assessment of events and patterns inside her family and how they shaped President Trump.
HOW TO BE AN ANTIRACIST,Ibram X. Kendi,Date non disponible,A primer for creating a more just and equitable society through identifying and opposing racism.
MELANIA AND ME,Stephanie Winston Wolkoff,Date non disponible,The former director of special events at Vogue describes parting ways with the First Lady after being made the scapegoat for inauguration finance irregularities.
HIS TRUTH IS MARCHING ON,Jon Meacham,Date non disponible,"The Pulitzer Prize-winning biographer creates a portrait of Representative John Lewis, the late civil rights leader and congressman for Georgia’s Fifth Congressional District."
EAT A PEACH,David Chang and Gabe Ulla,Date non disponible,A memoir by the chef and founder of Momofuku and the star of the Netflix series “Ugly Delicious.”
